Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,# du,,%3PA c,3P% c,,Att.,#
62,Tony Bradley\bradlto01,C,23,OKC,22,397,0.656,4.7,,0.984,0.541,0.344,0.041,0.057,0.016,,0.667,0.742,0.667,0.4,0.143,0,,0.725,,,0.123,14,,0,,,0,0
63,Jarrell Brantley\brantja01,PF,24,UTA,28,138,0.481,15.5,,0.462,0.212,0.212,0.019,0.019,0.538,,0.542,0.818,0.364,0,0,0.429,,0.308,0.917,,0.038,2,,0.536,0.467,,0,0
64,Ignas Brazdeikis\brazdig01,SF,22,TOT,13,249,0.422,13.1,,0.663,0.289,0.229,0.048,0.096,0.337,,0.436,0.542,0.421,0,0.375,0.393,,0.542,0.909,,0,0,,0.25,0.286,,1,0
64,Ignas Brazdeikis\brazdig01,SF,22,NYK,4,7,0,14.9,,1,0,0,1,0,0,,0,,,0,,,,,,,0,0,,,,,0,0
64,Ignas Brazdeikis\brazdig01,SF,22,PHI,1,8,0,12.4,,0.667,0.333,0,0.333,0,0.333,,0,0,,0,,0,,,,,0,0,,1,0,,0,0
64,Ignas Brazdeikis\brazdig01,SF,22,ORL,8,234,0.443,13.1,,0.658,0.291,0.241,0.025,0.101,0.342,,0.462,0.565,0.421,0,0.375,0.407,,0.542,0.909,,0,0,,0.222,0.333,,1,0
65,Mikal Bridges\bridgmi01,SF,24,PHO,72,2348,0.543,14.3,,0.529,0.278,0.135,0.082,0.034,0.471,,0.647,0.801,0.5,0.455,0.435,0.425,,0.764,0.985,,0.058,38,,0.597,0.441,,0,0
66,Miles Bridges\bridgmi02,PF,22,CHO,66,1932,0.503,14,,0.534,0.338,0.141,0.019,0.035,0.466,,0.593,0.729,0.42,0.167,0.227,0.4,,0.716,0.819,,0.145,82,,0.324,0.436,,3,0
67,Amida Brimah\brimaam01,C,26,IND,5,29,0.625,3,,1,0.625,0.375,0,0,0,,0.625,0.8,0.333,,,,,0.8,,,0.5,3,,,,,0,0
68,Oshae Brissett\brissos01,SF,22,IND,21,519,0.483,14.9,,0.483,0.325,0.126,0.02,0.013,0.517,,0.548,0.735,0.158,0.333,0,0.423,,0.725,0.97,,0.099,14,,0.295,0.522,,1,0
69,Malcolm Brogdon\brogdma01,PG,28,IND,56,1930,0.453,14.3,,0.618,0.309,0.111,0.081,0.117,0.382,,0.493,0.554,0.404,0.443,0.452,0.388,,0.247,0.662,,0.009,8,,0.107,0.475,,0,0
70,Armoni Brooks\brookar01,SG,22,HOU,20,520,0.406,22.1,,0.182,0.099,0.057,0.026,0,0.818,,0.514,0.579,0.545,0.2,,0.382,,0.722,0.85,,0.016,3,,0.153,0.417,,0,0
71,Dillon Brooks\brookdi01,SF,25,MEM,67,1997,0.419,15,,0.639,0.155,0.167,0.229,0.088,0.361,,0.461,0.606,0.395,0.411,0.462,0.344,,0.513,0.867,,0.028,29,,0.159,0.559,,0,0
72,Bruce Brown\brownbr01,PG,24,BRK,65,1451,0.556,6.4,,0.861,0.513,0.286,0.057,0.005,0.139,,0.599,0.7,0.479,0.292,0.5,0.288,,0.752,1,,0.054,22,,0.746,0.295,,0,0
73,Charlie Brown\brownch02,SG,23,OKC,9,152,0.302,16.6,,0.512,0.116,0.186,0.093,0.116,0.488,,0.364,0.6,0.25,0.25,0.4,0.238,,0.75,1,,0.047,1,,0.333,0.286,,0,0
74,Jaylen Brown\brownja02,SG,24,BOS,58,1999,0.484,14.3,,0.63,0.195,0.239,0.11,0.086,0.37,,0.536,0.7,0.442,0.484,0.49,0.397,,0.453,0.798,,0.024,23,,0.158,0.4,,2,0
75,Moses Brown\brownmo01,C,21,OKC,43,920,0.545,2.1,,1,0.772,0.224,0.004,0,0,,0.545,0.628,0.267,0,,,,0.507,,,0.321,78,,,,,0,0
76,Sterling Brown\brownst02,SG,25,HOU,51,1229,0.448,17.9,,0.358,0.206,0.099,0.021,0.033,0.642,,0.492,0.623,0.364,0.286,0.182,0.423,,0.542,0.912,,0.021,6,,0.414,0.371,,3,0
