Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,#,,%3PA c,3P% c,,Att.,#
48,Bogdan Bogdanović\bogdabo01,SG,27,SAC,61,1766,0.44,18.5,,0.424,0.121,0.128,0.099,0.076,0.576,,0.532,0.677,0.459,0.434,0.552,0.372,,0.358,0.854,,0.004,2,,0.193,0.365,,1,0
49,Bojan Bogdanović\bogdabo02,SF,30,UTA,63,2083,0.447,15.4,,0.511,0.195,0.207,0.08,0.029,0.489,,0.479,0.698,0.361,0.333,0.259,0.414,,0.507,0.857,,0.029,22,,0.282,0.473,,0,0
50,Bol Bol\bolbo01,PF,20,DEN,7,87,0.5,12.1,,0.679,0.321,0.143,0.179,0.036,0.321,,0.526,0.778,0.5,0.2,0,0.444,,0.5,1,,0.107,3,,0.222,0,,0,0
51,Jonah Bolden\boldejo01,C,24,TOT,7,47,0.364,9.7,,0.636,0.636,0,0,0,0.364,,0.571,0.571,,,,0,,0.5,,,0.182,1,,0.5,0,,0,0
52,Marques Bolden\boldema01,C,21,CLE,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
53,Jordan Bone\bonejo01,PG,22,DET,10,53,0.25,17.8,,0.5,0.05,0.15,0.25,0.05,0.5,,0.3,1,0,0.4,0,0.2,,0.667,0.5,,0,0,,0,,,0,0
54,Isaac Bonga\bongais01,SF,20,WAS,66,1250,0.504,10.1,,0.697,0.462,0.179,0.038,0.017,0.303,,0.571,0.648,0.476,0.222,0.25,0.352,,0.559,1,,0.043,8,,0.38,0.444,,2,0
55,Devin Booker\bookede01,SG,23,PHO,70,2512,0.489,14.1,,0.69,0.228,0.136,0.213,0.112,0.31,,0.549,0.72,0.463,0.487,0.424,0.354,,0.416,0.61,,0.017,22,,0.09,0.361,,0,0
56,Chris Boucher\bouchch01,C,27,TOR,62,819,0.472,11.8,,0.605,0.468,0.1,0.017,0.02,0.395,,0.569,0.621,0.433,0.2,0.333,0.322,,0.66,1,,0.157,44,,0.144,0.176,,0,0
57,Brian Bowen\bowenbr02,SF,21,IND,6,31,0.3,9.9,,0.8,0.4,0.2,0.1,0.1,0.2,,0.375,0.25,1,0,0,0,,0.667,,,0.1,1,,1,0,,0,0
58,Ky Bowman\bowmaky01,PG,22,GSW,45,1015,0.417,14.8,,0.667,0.209,0.159,0.146,0.153,0.333,,0.472,0.657,0.314,0.468,0.388,0.308,,0.446,0.727,,0.04,11,,0.234,0.44,,1,0
59,Avery Bradley\bradlav01,SG,29,LAL,49,1186,0.444,16.9,,0.548,0.17,0.091,0.076,0.211,0.452,,0.51,0.646,0.429,0.448,0.457,0.364,,0.738,0.921,,0.005,2,,0.468,0.358,,1,0
60,Tony Bradley\bradlto01,C,22,UTA,58,663,0.667,2.9,,0.984,0.762,0.201,0.016,0.005,0.016,,0.661,0.743,0.368,0.667,0,1,,0.691,1,,0.201,32,,0,,,0,0
61,Jarrell Brantley\brantja01,PF,23,UTA,9,96,0.357,13.6,,0.536,0.286,0.214,0.036,0,0.464,,0.467,0.75,0.167,0,,0.231,,0.429,1,,0.036,1,,0.462,0.333,,0,0
62,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,53,0.273,15.7,,0.591,0.273,0.136,0.045,0.136,0.409,,0.385,0.833,0,0,0,0.111,,0.2,1,,0,0,,0.111,0,,0,0
63,Corey Brewer\breweco01,PF,33,SAC,5,33,0.5,7.5,,0.75,0.5,0.25,0,0,0.25,,0.667,1,0,,,0,,1,,,0,0,,1,0,,0,0
64,Mikal Bridges\bridgmi01,SF,23,PHO,73,2042,0.51,12.6,,0.599,0.386,0.122,0.062,0.029,0.401,,0.61,0.749,0.339,0.367,0.429,0.361,,0.763,0.986,,0.101,43,,0.49,0.411,,1,0
65,Miles Bridges\bridgmi02,SF,21,CHO,65,1995,0.424,12.9,,0.602,0.308,0.226,0.05,0.017,0.398,,0.486,0.621,0.335,0.316,0.538,0.33,,0.514,0.939,,0.07,47,,0.353,0.377,,4,0
66,Oshae Brissett\brissos01,SF,21,TOR,19,135,0.361,11.7,,0.583,0.389,0.167,0.028,0,0.417,,0.476,0.714,0,0,,0.2,,0.6,1,,0.194,6,,0.533,0.25,,0,0
67,Ryan Broekhoff\broekry01,SF,29,DAL,17,180,0.373,22.5,,0.136,0.068,0.034,0.034,0,0.864,,0.25,0.25,0.5,0,,0.392,,0.5,0.95,,0,0,,0.294,0.4,,0,0
